Region,Scenario,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
MAF,RCP8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.581,0.71,0.791,1.184,1.558,2.12,2.799,3.56,4.008,4.648,4.942,5.302,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
OECD,RCP6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.435,3.397,3.345,3.349,3.289,3.241,3.175,3.063,2.556,2.136,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
OECD,RCP4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.304,3.215,3.171,2.946,2.539,2.12,1.609,1.007,0.921,0.923,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
OECD,RCP2.6,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.451,3.178,2.245,1.085,0.618,0.111,-0.312,-0.369,-0.404,-0.453,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
OECD,RCP8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,3.191,3.348,3.471,3.977,4.74,5.206,5.721,6.151,6.545,6.918,6.864,6.438,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
REF,RCP6.0,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.957,0.893,0.867,0.844,0.826,0.872,1.064,1.117,0.964,1.005,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
REF,RCP4.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.882,0.861,0.837,0.779,0.69,0.541,0.388,0.231,0.22,0.221,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
REF,RCP2.6,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.867,0.799,0.54,0.315,0.238,0.117,-0.025,-0.081,-0.126,-0.158,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
REF,RCP8.5,CO2 emissions - Fossil fuels and Industry,PgC/yr,0.824,0.892,0.948,1.333,1.665,2.059,2.507,2.971,3.313,3.549,3.953,4.586,"1) Fossil CO2 emission category inlcudes emission from  fossil fuels, cement production, gas flaring and bunker fuels"
" © RCP Database (Version 2.0.5) http://www.iiasa.ac.at/web-apps/tnt/RcpDb 
 generated: 2015-11-15 00:26:17
Please use the following references for the scenario data presented in the spreadsheet:
RCP 8.5:
Riahi, K., and Nakicenovic, N. (eds): 2007, Greenhouse Gases - Integrated Assessment, Technological Forecasting and Social Change, Special Issue, 74(7), September 2007, 234 pp. (ISSN 0040-1625)
RCP 6.0:
Fujino, J., R. Nair, M. Kainuma, T. Masui, Y. Matsuoka, 2006. Multi-gas mitigation analysis on stabilization scenarios using AIM global model. Multigas Mitigation and Climate Policy. The Energy Journal Special Issue.
Hijioka, Y., Y. Matsuoka, H. Nishimoto, M. Masui, and M. Kainuma, 2008. Global GHG emissions scenarios under GHG concentration stabilization targets. Journal of Global Environmental Engineering 13, 97-108.
RCP 4.5:
Clarke, L., J. Edmonds, H. Jacoby, H. Pitcher, J. Reilly, R. Richels, 2007. Scenarios of Greenhouse Gas Emissions and Atmospheric Concentrations. Sub-report 2.1A of Synthesis and Assessment Product 2.1 by the U.S. Climate Change Science Program and the Subcommittee on Global Change Research. Department of Energy, Office of Biological & Environmental Research, Washington, 7 DC., USA, 154 pp.
Smith, S.J. and T.M.L. Wigley, 2006. Multi-Gas Forcing Stabilization with the MiniCAM. Energy Journal (Special Issue #3) pp 373-391.
Wise, MA, KV Calvin, AM Thomson, LE Clarke, B Bond-Lamberty, RD Sands, SJ Smith, AC Janetos, JA Edmonds. 2009. Implications of Limiting CO2 Concentrations for Land Use and Energy. Science. 324:1183-1186. May 29, 2009.
RCP3-PD (2.6):
van Vuuren, D.P., B. Eickhout, P.L. Lucas, and M.G.J. den Elzen, 2006. Long-term multi-gas scenarios to stabilise radiative forcing - Exploring costs and benefits within an integrated assessment framework. Multigas Mitigation and Climate Policy. The Energy Journal Special Issue.
van Vuuren, D., M. den Elzen, P. Lucas, B. Eickhout, B. Strengers, B. van Ruijven, S. Wonink, R. van Houdt, 2007. Stabilizing greenhouse gas concentrations at low levels: an assessment of reduction strategies and costs. Climatic Change, doi:10.1007/s/10584-006-9172-9.",,,,,,,,,,,,,,,,
